timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
3.82688,False,CardSpawn,Map1,Wood,-1.236897,0.386385,1.347687,Card/Material/C_Wood
4.167135,False,CardSpawn,Map1,Wood,-1.379492,0.386385,2.564352,Card/Material/C_Wood
4.373276,False,CardSpawn,Map1,Wood,-0.534332,0.799093,2.55015,Card/Material/C_Wood
20.51155,False,CardSpawn,Map1,Stone,1.202298,0.386385,1.66038,Card/Material/C_Stone
20.77712,False,CardSpawn,Map1,Stone,1.595307,0.2941545,2.22788,Card/Material/C_Stone
20.92741,False,CardSpawn,Map1,Stone,1.674015,0.386385,3.027555,Card/Material/C_Stone
21.0945,False,CardSpawn,Map1,Stone,1.133913,0.2941545,3.280695,Card/Material/C_Stone
